FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,YieldValue,YieldDateOfEntry,YieldDateEnd
1219,673,1 raw patty (27g),1 boulette crue (27g),13,15-Aug-01 2:57:44 PM,16-Jul-14 10:30:34 AM
1219,674,1 raw patty (56g),1 boulette crue (56g),26,1-May-97 8:00:00 AM,16-Jul-14 10:30:34 AM
1281,680,100ml dry,100ml sec,70,10-Jun-04 2:05:44 PM,11-Sep-14 10:40:14 AM
1395,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 10:04:31 AM,11-Sep-14 10:01:33 AM
1405,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 10:41:28 AM,11-Sep-14 9:54:12 AM
1441,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 11:30:10 AM,6-Jun-13 9:51:00 AM
1445,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,25,12-Aug-04 9:35:52 AM,11-Sep-14 10:02:00 AM
1447,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 11:11:10 AM,11-Sep-14 9:54:48 AM
1449,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,37,28-Sep-07 10:58:58 AM,13-Aug-12 4:30:41 PM
1449,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,37,28-Sep-07 10:58:58 AM,11-Sep-14 10:04:23 AM
1451,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 11:30:43 AM,11-Sep-14 10:04:54 AM
1455,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 11:53:04 AM,11-Sep-14 10:22:50 AM
1458,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 11:30:59 AM,11-Sep-14 10:41:45 AM
1468,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,22-May-09 11:40:35 AM,7-Nov-12 1:37:56 PM
1480,1582,amount to make 175ml cooked,quantité requise pour préparer 175ml cuit,30,12-Aug-04 10:59:56 AM,7-Nov-12 1:38:10 PM
1626,921,amount to make 125ml,quantité requise pour préparer 125ml,38,12-Aug-04 11:07:07 AM,27-Aug-12 10:57:48 AM
1626,921,amount to make 125ml,quantité requise pour préparer 125ml,38,12-Aug-04 11:07:07 AM,27-Aug-12 10:57:51 AM
1626,921,amount to make 125ml,quantité requise pour préparer 125ml,38,12-Aug-04 11:07:07 AM,30-Oct-14 3:13:25 PM
1626,985,amount to make 250ml,quantité requise pour préparer 250ml,75,12-Aug-04 11:07:07 AM,30-Oct-14 3:13:25 PM
1831,683,100g raw as purchased,"100g  acheté, cru",51,1-May-97 8:00:00 AM,25-May-11 8:38:29 AM
1856,683,100g raw as purchased,"100g  acheté, cru",28,1-May-97 8:00:00 AM,9-Apr-14 3:33:58 PM
