FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
503349,750,0,2015-03-12
503350,750,0,2015-03-12
503351,750,0,2015-03-12
503352,750,0,2015-03-12
503353,750,0,2015-03-12
503354,750,0,2015-03-12
503355,750,0,2015-03-12
503356,750,0,2015-03-12
503357,750,0,2015-03-12
503358,750,0,2015-03-12
503362,750,0,2015-04-21
503363,750,0,2015-02-18
503364,750,0,2015-02-18
503365,750,0,2015-04-22
503366,750,0,2015-03-02
503367,750,0,2015-03-02
503379,750,0,2015-05-26
503380,750,0,2015-05-29
